torque_ts
Ek: 1e-06,
Rat: 20.0,
6.70639249536684E-05,994148.1236947060
6.80574645826116E-05,993464.0453933150
6.90510042115548E-05,993286.3871944010
7.00445438404981E-05,993570.6900885530
7.10380834694413E-05,994268.7384513200
7.20316230983845E-05,995329.4756652690
7.30251627273277E-05,996699.8689181490
7.40187023562709E-05,998325.5450264700
7.50122419852142E-05,1000151.377729140
7.60057816141574E-05,1002122.5683103000
7.71235136967185E-05,1004447.696388060
7.81170533256617E-05,1006553.7834885500
7.9110592954605E-05,1008646.978164100
8.01041325835482E-05,1010683.4723326500
8.10976722124914E-05,1012624.2227762100
8.20912118414347E-05,1014435.130874440
8.30847514703779E-05,1016087.3490452700
8.40782910993211E-05,1017557.7688440700
8.50718307282643E-05,1018829.1817429000
8.60653703572075E-05,1019890.3549308900
8.70589099861508E-05,1020736.1973246400
8.8052449615094E-05,1021367.4341925300
8.90459892440372E-05,1021789.8939929700
9.00395288729805E-05,1022014.1850723700
9.10330685019237E-05,1022055.3588754800
9.20266081308669E-05,1021931.5828285500
9.30201477598101E-05,1021662.3089303900
9.40136873887533E-05,1021266.9876857600
9.50072270176966E-05,1020764.009086250
9.60007666466398E-05,1020169.072959950
9.71184987292009E-05,1019403.5457015900
9.81120383581441E-05,1018643.2333066900
9.91055779870874E-05,1017806.8014961600
0.00010009911761603100,1016887.5368408300
0.0001010926572449740,1015873.721292820
0.00010208619687391700,1014749.813048140
0.00010307973650286000,1013498.5284822900
0.00010407327613180300,1012103.5719714400
0.0001050668157607470,1010552.22178049
0.00010606035538969000,1008837.266625070
0.00010705389501863300,1006958.5074018400
0.00010804743464757600,1004923.9685178300
0.0001090409742765200,1002750.2042763600
0.00011003451390546300,1000461.215014890
0.00011102805353440600,998086.6438069350
0.00011202159316334900,995660.115857128
0.00011301513279229200,993217.4332784090
0.00011400867242123600,990794.1276558280
0.00011500221205017900,988423.0105693300
0.00011611994413274000,985852.9831993420
0.00011711348376168300,983679.6006049290
0.00011810702339062700,981625.9262176910
0.00011910056301957000,979698.3805989970
0.00012009410264851300,977895.9315930590
0.00012108764227745600,976210.7462793110
0.0001220811819063990,974628.8611301800
0.00012312439851679000,973058.556466216
0.00012401858418283900,971766.8703864110
0.000125061800793229,970299.5116891930
0.00012610501740361900,968848.1392791100
0.0001271482340140100,967386.665901224
0.00012804241968005900,966108.4405909460
0.0001290856362904490,964569.6643674880
0.00013012885290083900,962964.4101603300
0.00013102303856688800,961527.197503253
0.00013206625517727800,959774.1907323960
0.00013310947178766900,957939.2817679430
0.00013400365745371800,956305.6472052760
0.00013504687406410800,954338.9920928210
0.00013609009067449800,952323.3525344370
0.00013713330728488900,950280.9035901020
0.0001380274929509380,948528.9938818400
