all_runs
t_amp,Ek,Rat,Ra,Re,Gammaz_avg,Gammaz_std
0.005,1E-05,40.0,185663553.34451100,456.1738326888260,332.3768030098230,3678.003321980480
0.005,3E-06,40.0,924481699.1341790,802.4139903100720,579.7892441661590,6715.905291302500
0.01,1E-05,40.0,185663553.34451100,460.96447637612600,-730.6042289607390,5224.349561509990
0.01,3E-06,40.0,924481699.1341790,801.3534732623520,1509.7314901341800,19927.18907125960
0.02,1E-05,40.0,185663553.34451100,457.0465271049160,2055.0383414252300,15347.178559724200
0.02,3E-06,40.0,924481699.1341790,799.483642894522,20739.81353446450,34832.422733692700
0.03,1E-05,40.0,185663553.34451100,456.8436182934610,-2878.5738644695000,21763.820888634800
0.03,3E-06,40.0,924481699.1341790,807.5859546936240,-1815.1832392684700,47861.15420186770
0.05,0.0001,10.0,2154434.6900318800,27.131570497584000,1150.41959849337,1086.8999336734400
0.05,1E-05,10.0,46415888.33612770,85.33652031728200,5018.953110767650,2763.0457284469700
0.05,1E-05,20.0,92831776.67225550,185.9757070005470,1568.6551200484300,9116.044128698790
0.05,1E-05,40.0,185663553.34451100,457.7392576278670,-7907.220605007700,36569.64372085420
0.05,1E-05,60.0,278495330.0167670,753.2626862071060,-19196.194606935200,82758.966121108
0.05,3E-06,40.0,924481699.1341790,814.1085023347740,35080.98549223850,95068.2052715346
0.1,0.0001,10.0,2154434.6900318800,27.20096618272720,1140.186640021170,1034.0700030800800
0.1,0.0001,20.0,4308869.380063770,65.87688012246240,210.13237324277500,3554.214834427140
0.1,0.0001,40.0,8617738.76012753,143.10424914800200,-1484.7270792286200,9702.06206144763
0.1,0.0001,60.0,12926608.140191300,216.98886932403400,-3001.9380917581400,15257.777519810500
0.1,3E-05,10.0,10727659.828951400,49.3809926643435,4220.955051179690,2423.251439115450
0.1,3E-05,20.0,21455319.657902900,114.75929788706900,1834.0524702382000,8464.026004232270
0.1,3E-05,40.0,42910639.31580570,264.12067724027300,-1161.2356985638400,24148.882795078400
0.1,3E-05,60.0,64365958.9737086,421.17419326366500,-2155.4072999622300,45633.15356002880
0.1,1E-05,10.0,46415888.33612770,86.05578626453600,12798.429240386900,5771.3608299508800
0.1,1E-05,20.0,92831776.67225550,184.78286776504600,9390.923111402010,17964.26673321650
0.1,1E-05,40.0,185663553.34451100,447.11973794583400,-21587.078760696600,74410.0306397508
0.1,1E-05,60.0,278495330.0167670,749.594181255088,-28213.730490734300,139838.60268017600
0.1,3E-06,40.0,924481699.1341790,797.8241194132540,106744.60427367200,151524.79514824200
0.2,0.0001,3.0,646330.4070095650,4.007277054254540,-23.21802557545160,83.8568000399831
0.2,0.0001,5.0,1077217.3450159400,10.150553927792200,292.45697385116900,415.1277853259730
0.2,0.0001,10.0,2154434.6900318800,28.004726386765300,2279.376033228440,2330.1544589429100
0.2,0.0001,20.0,4308869.380063770,65.97750850977840,-266.6130673345730,5952.962262892040
0.2,0.0001,40.0,8617738.76012753,142.4584788129120,-5097.425416817150,18081.700704777100
0.2,0.0001,60.0,12926608.140191300,215.84059946725200,-5548.209149167590,26569.556736041900
0.2,3E-05,3.0,3218297.94868543,5.556127259882800,-841.5068220419230,64.89223133705670
0.2,3E-05,5.0,5363829.914475720,16.343684562833000,-1112.8472500059900,858.325799845288
0.2,3E-05,10.0,10727659.828951400,50.39230394027830,9031.03532717674,5190.245875342410
0.2,3E-05,20.0,21455319.657902900,115.31357969222200,2956.9546720609700,16938.42087467540
0.2,3E-05,40.0,42910639.31580570,263.5740431467580,-15029.79535301190,52068.960334894700
0.2,3E-05,60.0,64365958.9737086,425.2802427197480,-12124.2818530015,79493.85153906170
0.2,1E-05,3.0,13924766.500838300,11.128599441515400,-9188.3105828517,186.9154067348700
0.2,1E-05,5.0,23207944.16806390,28.248885864511100,-9077.471796219320,3614.8192548703100
0.2,1E-05,10.0,46415888.33612770,83.15670790106370,29507.2975095475,11327.0162642629
0.2,1E-05,20.0,92831776.67225550,184.94110442107000,-4635.952872893930,43176.45964532930
0.2,1E-05,40.0,185663553.34451100,446.61474986820000,-92649.79929348850,124564.36968016700
0.2,1E-05,60.0,278495330.0167670,746.9178931529660,-181568.45000241400,218489.0734072380
0.2,3E-06,3.0,69336127.4350634,20.40336320597880,-42713.75703833530,49.10791880090250
0.2,3E-06,5.0,115560212.39177200,67.8779605013962,182570.6715248440,90638.05250125900
0.2,3E-06,10.0,231120424.7835450,133.86484633714500,155770.57050807200,23001.209500488700
0.2,3E-06,20.0,462240849.5670890,300.17978333271300,-59067.82064641850,159419.58254471100
0.2,3E-06,40.0,924481699.1341790,795.901133445878,-125660.39124850700,448993.09085689900
0.2,3E-06,60.0,1386722548.7012700,1361.4386413119100,-674632.3093054110,955557.9669457710
0.2,1E-06,3.0,300000000.00000000,66.57558488500300,536881.1953311470,2751.4150872280800
0.2,1E-06,10.0,999999999.999999,242.79026778031500,800482.1118314460,86809.76379372410
0.2,1E-06,20.0,2000000000.000000,494.95782710299800,980719.2269334940,191458.37142315800
0.2,1E-06,40.0,4000000000.000000,1342.4722591632600,-675013.991263432,1019838.4238837500
0.2,1E-06,60.0,5999999999.999990,2261.2245688710600,-1458966.0041284000,2690478.879119850
0.3,1E-05,40.0,185663553.34451100,443.84667437325500,-256931.4540517560,265816.96317717700
0.3,3E-06,40.0,924481699.1341790,803.6675305794110,-1039178.2650613700,749178.9048312670
